Service,Payment Group reference,Payment reference,CCD reference,Case reference,Payment created date,Payment status updated date,Payment status,Payment channel,Payment method,Payment amount,Site id,Fee code,Version,Calculated amount,Memo line,NAC,Fee volume
Civil Money Claims,2018-15315141651,RC-1531-5141-6519-2825,UNKNOWN,42716db4-fa1b-4dea-8ea7-7f3b8413a4f7,13 Jul 2018 20:36:05 UTC,14 Jul 2018 07:28:44 UTC,Failed,online,card,70.00,AA00,FEE0214,3,70.00,"GOV.UK Pay online claims - Money Claim £1000-1500",4481102133,1
Divorce,2018-15315309294,RC-1531-5309-2947-0195,1531530911558866,null,14 Jul 2018 01:15:29 UTC,14 Jul 2018 01:17:27 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315267675,RC-1531-5267-6761-9085,UNKNOWN,c01c1f0d-803e-4973-858b-881fb04a4b54,14 Jul 2018 00:06:08 UTC,14 Jul 2018 00:07:06 UTC,Success,online,card,25.00,AA00,FEE0211,3,25.00,"GOV.UK Pay online claims - Money Claim £0-300",4481102133,1
Divorce,2018-15315314173,RC-1531-5314-1730-1095,1531530911558866,null,14 Jul 2018 01:23:37 UTC,14 Jul 2018 01:25:51 UTC,Success,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315369792,RC-1531-5369-7926-4595,1531536901232891,null,14 Jul 2018 02:56:19 UTC,14 Jul 2018 03:03:02 UTC,Failed,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315512693,RC-1531-5512-6948-7885,1531551059705010,null,14 Jul 2018 06:54:29 UTC,14 Jul 2018 06:56:32 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315373876,RC-1531-5373-8767-0775,1531536901232891,null,14 Jul 2018 03:03:08 UTC,14 Jul 2018 03:05:20 UTC,Failed,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315378472,RC-1531-5378-4728-0955,1531536901232891,null,14 Jul 2018 03:10:47 UTC,14 Jul 2018 03:13:04 UTC,Failed,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315384442,RC-1531-5384-4421-8745,1531536901232891,null,14 Jul 2018 03:20:44 UTC,14 Jul 2018 03:22:23 UTC,Failed,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315514068,RC-1531-5514-0687-5805,1531551059705010,null,14 Jul 2018 06:56:47 UTC,14 Jul 2018 06:59:02 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315392955,RC-1531-5392-9555-6255,1531536901232891,null,14 Jul 2018 03:34:56 UTC,14 Jul 2018 03:35:32 UTC,Failed,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315400220,RC-1531-5400-2212-1345,UNKNOWN,1d3f3db3-e279-4532-a5bb-ce9fd83e91b0,14 Jul 2018 03:47:02 UTC,14 Jul 2018 03:48:43 UTC,Success,online,card,25.00,AA00,FEE0211,3,25.00,"GOV.UK Pay online claims - Money Claim £0-300",4481102133,1
Divorce,2018-15315554084,RC-1531-5554-0845-5975,1531555392788294,null,14 Jul 2018 08:03:28 UTC,14 Jul 2018 08:05:05 UTC,Success,online,card,550.00,AA04,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315407843,RC-1531-5407-8448-3535,UNKNOWN,77adf0da-da0d-4ff3-a954-ddc10b4afd6e,14 Jul 2018 03:59:44 UTC,14 Jul 2018 04:02:54 UTC,Success,online,card,25.00,AA00,FEE0211,3,25.00,"GOV.UK Pay online claims - Money Claim £0-300",4481102133,1
Divorce,2018-15315515578,RC-1531-5515-5785-6965,1531551059705010,null,14 Jul 2018 06:59:18 UTC,14 Jul 2018 07:02:07 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315506393,RC-1531-5506-3930-3765,UNKNOWN,9de72ae3-a5a5-4198-8d09-4ea299a1b861,14 Jul 2018 06:43:59 UTC,14 Jul 2018 06:45:53 UTC,Success,online,card,105.00,AA00,FEE0215,3,105.00,"GOV.UK Pay online claims - Money Claim £1500-3000",4481102133,1
Divorce,2018-15315511157,RC-1531-5511-1579-9505,1531551059705010,null,14 Jul 2018 06:51:56 UTC,14 Jul 2018 06:54:17 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315534361,RC-1531-5534-3610-9125,UNKNOWN,42716db4-fa1b-4dea-8ea7-7f3b8413a4f7,14 Jul 2018 07:30:36 UTC,14 Jul 2018 07:32:51 UTC,Failed,online,card,70.00,AA00,FEE0214,3,70.00,"GOV.UK Pay online claims - Money Claim £1000-1500",4481102133,1
Divorce,2018-15315527371,RC-1531-5527-3714-1255,1531551059705010,null,14 Jul 2018 07:18:57 UTC,14 Jul 2018 07:21:38 UTC,Failed,online,card,550.00,AA03,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Divorce,2018-15315532525,RC-1531-5532-5252-8895,1531553232078075,null,14 Jul 2018 07:27:33 UTC,14 Jul 2018 07:29:11 UTC,Success,online,card,550.00,AA01,FEE0002,4,550.00,"GOV - App for divorce/nullity of marriage or CP",4481102159,1
Civil Money Claims,2018-15315533247,RC-1531-5533-2472-8225,UNKNOWN,42716db4-fa1b-4dea-8ea7-7f3b8413a4f7,14 Jul 2018 07:28:45 UTC,14 Jul 2018 07:30:22 UTC,Failed,online,card,70.00,AA00,FEE0214,3,70.00,"GOV.UK Pay online claims - Money Claim £1000-1500",4481102133,1
Civil Money Claims,2018-15315535908,RC-1531-5535-9085-8565,UNKNOWN,42716db4-fa1b-4dea-8ea7-7f3b8413a4f7,14 Jul 2018 07:33:11 UTC,14 Jul 2018 07:34:22 UTC,Failed,online,card,70.00,AA00,FEE0214,3,70.00,"GOV.UK Pay online claims - Money Claim £1000-1500",4481102133,1
